ratio,xpi,xpj,imbalance,imbalance_scaled,multiplier,multiplier_x,base_fee,base_fee_bps,effective_fee,effective_fee_bps
0.05,100000000000000000,1900000000000000000,0.9,900000000000000000,10000000000,1.0,4000000,4.0,4000000,4.0
0.05,100000000000000000,1900000000000000000,0.9,900000000000000000,20000000000,2.0,4000000,4.0,6722689,6.722689000000001
0.05,100000000000000000,1900000000000000000,0.9,900000000000000000,50000000000,5.0,4000000,4.0,11363636,11.363636
0.05,100000000000000000,1900000000000000000,0.9,900000000000000000,100000000000,10.0,4000000,4.0,14760147,14.760147
0.1,200000000000000000,1800000000000000000,0.8,800000000000000000,10000000000,1.0,4000000,4.0,4000000,4.0
0.1,200000000000000000,1800000000000000000,0.8,800000000000000000,20000000000,2.0,4000000,4.0,5882352,5.882351999999999
0.1,200000000000000000,1800000000000000000,0.8,800000000000000000,50000000000,5.0,4000000,4.0,8196721,8.196721
0.1,200000000000000000,1800000000000000000,0.8,800000000000000000,100000000000,10.0,4000000,4.0,9433962,9.433962
0.15,300000000000000000,1700000000000000000,0.7,700000000000000000,10000000000,1.0,4000000,4.0,4000000,4.0
0.15,300000000000000000,1700000000000000000,0.7,700000000000000000,20000000000,2.0,4000000,4.0,5298013,5.298013
0.15,300000000000000000,1700000000000000000,0.7,700000000000000000,50000000000,5.0,4000000,4.0,6578947,6.578947
0.15,300000000000000000,1700000000000000000,0.7,700000000000000000,100000000000,10.0,4000000,4.0,7155635,7.155634999999999
0.2,400000000000000000,1600000000000000000,0.6,600000000000000000,10000000000,1.0,4000000,4.0,4000000,4.0
0.2,400000000000000000,1600000000000000000,0.6,600000000000000000,20000000000,2.0,4000000,4.0,4878048,4.878048
0.2,400000000000000000,1600000000000000000,0.6,600000000000000000,50000000000,5.0,4000000,4.0,5617977,5.617977
0.2,400000000000000000,1600000000000000000,0.6,600000000000000000,100000000000,10.0,4000000,4.0,5917159,5.917159
0.25,500000000000000000,1500000000000000000,0.5,500000000000000000,10000000000,1.0,4000000,4.0,4000000,4.0
0.25,500000000000000000,1500000000000000000,0.5,500000000000000000,20000000000,2.0,4000000,4.0,4571428,4.571428
0.25,500000000000000000,1500000000000000000,0.5,500000000000000000,50000000000,5.0,4000000,4.0,5000000,5.0
0.25,500000000000000000,1500000000000000000,0.5,500000000000000000,100000000000,10.0,4000000,4.0,5161290,5.16129
0.3,600000000000000000,1400000000000000000,0.4,400000000000000000,10000000000,1.0,4000000,4.0,4000000,4.0
0.3,600000000000000000,1400000000000000000,0.4,400000000000000000,20000000000,2.0,4000000,4.0,4347826,4.3478259999999995
0.3,600000000000000000,1400000000000000000,0.4,400000000000000000,50000000000,5.0,4000000,4.0,4587155,4.587155
0.3,600000000000000000,1400000000000000000,0.4,400000000000000000,100000000000,10.0,4000000,4.0,4672897,4.672897
0.35,700000000000000000,1300000000000000000,0.3,300000000000000000,10000000000,1.0,4000000,4.0,4000000,4.0
0.35,700000000000000000,1300000000000000000,0.3,300000000000000000,20000000000,2.0,4000000,4.0,4188481,4.188481
0.35,700000000000000000,1300000000000000000,0.3,300000000000000000,50000000000,5.0,4000000,4.0,4310344,4.310344
0.35,700000000000000000,1300000000000000000,0.3,300000000000000000,100000000000,10.0,4000000,4.0,4352557,4.352557
0.4,800000000000000000,1200000000000000000,0.2,200000000000000000,10000000000,1.0,4000000,4.0,4000000,4.0
0.4,800000000000000000,1200000000000000000,0.2,200000000000000000,20000000000,2.0,4000000,4.0,4081632,4.081632
0.4,800000000000000000,1200000000000000000,0.2,200000000000000000,50000000000,5.0,4000000,4.0,4132231,4.132231
0.4,800000000000000000,1200000000000000000,0.2,200000000000000000,100000000000,10.0,4000000,4.0,4149377,4.149377
0.45,900000000000000000,1100000000000000000,0.1,100000000000000000,10000000000,1.0,4000000,4.0,4000000,4.0
0.45,900000000000000000,1100000000000000000,0.1,100000000000000000,20000000000,2.0,4000000,4.0,4020100,4.0201
0.45,900000000000000000,1100000000000000000,0.1,100000000000000000,50000000000,5.0,4000000,4.0,4032258,4.032258
0.45,900000000000000000,1100000000000000000,0.1,100000000000000000,100000000000,10.0,4000000,4.0,4036326,4.036326
0.5,1000000000000000000,1000000000000000000,0.0,0,10000000000,1.0,4000000,4.0,4000000,4.0
0.5,1000000000000000000,1000000000000000000,0.0,0,20000000000,2.0,4000000,4.0,4000000,4.0
0.5,1000000000000000000,1000000000000000000,0.0,0,50000000000,5.0,4000000,4.0,4000000,4.0
0.5,1000000000000000000,1000000000000000000,0.0,0,100000000000,10.0,4000000,4.0,4000000,4.0
0.55,1100000000000000128,899999999999999872,0.10000000000000013,100000000000000128,10000000000,1.0,4000000,4.0,4000000,4.0
0.55,1100000000000000128,899999999999999872,0.10000000000000013,100000000000000128,20000000000,2.0,4000000,4.0,4020100,4.0201
0.55,1100000000000000128,899999999999999872,0.10000000000000013,100000000000000128,50000000000,5.0,4000000,4.0,4032258,4.032258
0.55,1100000000000000128,899999999999999872,0.10000000000000013,100000000000000128,100000000000,10.0,4000000,4.0,4036326,4.036326
0.6,1200000000000000000,800000000000000000,0.2,200000000000000000,10000000000,1.0,4000000,4.0,4000000,4.0
0.6,1200000000000000000,800000000000000000,0.2,200000000000000000,20000000000,2.0,4000000,4.0,4081632,4.081632
0.6,1200000000000000000,800000000000000000,0.2,200000000000000000,50000000000,5.0,4000000,4.0,4132231,4.132231
0.6,1200000000000000000,800000000000000000,0.2,200000000000000000,100000000000,10.0,4000000,4.0,4149377,4.149377
0.65,1300000000000000000,700000000000000000,0.3,300000000000000000,10000000000,1.0,4000000,4.0,4000000,4.0
0.65,1300000000000000000,700000000000000000,0.3,300000000000000000,20000000000,2.0,4000000,4.0,4188481,4.188481
0.65,1300000000000000000,700000000000000000,0.3,300000000000000000,50000000000,5.0,4000000,4.0,4310344,4.310344
0.65,1300000000000000000,700000000000000000,0.3,300000000000000000,100000000000,10.0,4000000,4.0,4352557,4.352557
0.7,1400000000000000000,600000000000000000,0.4,400000000000000000,10000000000,1.0,4000000,4.0,4000000,4.0
0.7,1400000000000000000,600000000000000000,0.4,400000000000000000,20000000000,2.0,4000000,4.0,4347826,4.3478259999999995
0.7,1400000000000000000,600000000000000000,0.4,400000000000000000,50000000000,5.0,4000000,4.0,4587155,4.587155
0.7,1400000000000000000,600000000000000000,0.4,400000000000000000,100000000000,10.0,4000000,4.0,4672897,4.672897
0.75,1500000000000000000,500000000000000000,0.5,500000000000000000,10000000000,1.0,4000000,4.0,4000000,4.0
0.75,1500000000000000000,500000000000000000,0.5,500000000000000000,20000000000,2.0,4000000,4.0,4571428,4.571428
0.75,1500000000000000000,500000000000000000,0.5,500000000000000000,50000000000,5.0,4000000,4.0,5000000,5.0
0.75,1500000000000000000,500000000000000000,0.5,500000000000000000,100000000000,10.0,4000000,4.0,5161290,5.16129
0.8,1600000000000000000,400000000000000000,0.6,600000000000000000,10000000000,1.0,4000000,4.0,4000000,4.0
